#    L    TT             EE             TE             PP             TP          
  1583    0.43748E+03    0.21452E+02    0.31970E+01    0.16362E+06    0.13738E+02
  1584    0.43512E+03    0.21529E+02    0.27829E+01    0.16345E+06    0.13579E+02
  1585    0.43278E+03    0.21605E+02    0.23632E+01    0.16329E+06    0.13421E+02
  1586    0.43049E+03    0.21676E+02    0.19382E+01    0.16312E+06    0.13264E+02
  1587    0.42824E+03    0.21747E+02    0.15078E+01    0.16296E+06    0.13108E+02
  1588    0.42603E+03    0.21814E+02    0.10723E+01    0.16279E+06    0.12953E+02
  1589    0.42386E+03    0.21879E+02    0.63212E+00    0.16263E+06    0.12798E+02
  1590    0.42172E+03    0.21941E+02    0.18729E+00    0.16246E+06    0.12644E+02
  1591    0.41963E+03    0.22001E+02   -0.26194E+00    0.16230E+06    0.12491E+02
  1592    0.41758E+03    0.22058E+02   -0.71530E+00    0.16213E+06    0.12339E+02
  1593    0.41557E+03    0.22113E+02   -0.11728E+01    0.16197E+06    0.12188E+02
  1594    0.41359E+03    0.22165E+02   -0.16341E+01    0.16181E+06    0.12038E+02
  1595    0.41167E+03    0.22215E+02   -0.20988E+01    0.16164E+06    0.11888E+02
  1596    0.40979E+03    0.22262E+02   -0.25670E+01    0.16148E+06    0.11739E+02
  1597    0.40794E+03    0.22306E+02   -0.30382E+01    0.16132E+06    0.11592E+02
  1598    0.40614E+03    0.22347E+02   -0.35123E+01    0.16115E+06    0.11445E+02
  1599    0.40437E+03    0.22385E+02   -0.39892E+01    0.16099E+06    0.11299E+02
  1600    0.40265E+03    0.22422E+02   -0.44687E+01    0.16083E+06    0.11154E+02
  1601    0.40097E+03    0.22455E+02   -0.49505E+01    0.16067E+06    0.11010E+02
  1602    0.39933E+03    0.22485E+02   -0.54343E+01    0.16051E+06    0.10867E+02
  1603    0.39774E+03    0.22512E+02   -0.59202E+01    0.16035E+06    0.10725E+02
  1604    0.39618E+03    0.22537E+02   -0.64082E+01    0.16018E+06    0.10584E+02
  1605    0.39467E+03    0.22559E+02   -0.68969E+01    0.16002E+06    0.10444E+02
  1606    0.39320E+03    0.22578E+02   -0.73877E+01    0.15986E+06    0.10305E+02
  1607    0.39176E+03    0.22595E+02   -0.78798E+01    0.15970E+06    0.10167E+02
  1608    0.39037E+03    0.22609E+02   -0.83716E+01    0.15954E+06    0.10030E+02
  1609    0.38903E+03    0.22619E+02   -0.88648E+01    0.15938E+06    0.98942E+01
  1610    0.38772E+03    0.22627E+02   -0.93585E+01    0.15922E+06    0.97592E+01
  1611    0.38645E+03    0.22632E+02   -0.98520E+01    0.15907E+06    0.96252E+01
  1612    0.38523E+03    0.22634E+02   -0.10346E+02    0.15891E+06    0.94922E+01
  1613    0.38404E+03    0.22633E+02   -0.10840E+02    0.15875E+06    0.93602E+01
  1614    0.38290E+03    0.22630E+02   -0.11333E+02    0.15859E+06    0.92292E+01
  1615    0.38180E+03    0.22624E+02   -0.11826E+02    0.15843E+06    0.90993E+01
  1616    0.38073E+03    0.22615E+02   -0.12317E+02    0.15827E+06    0.89704E+01
  1617    0.37970E+03    0.22603E+02   -0.12808E+02    0.15812E+06    0.88426E+01
  1618    0.37872E+03    0.22589E+02   -0.13297E+02    0.15796E+06    0.87157E+01
  1619    0.37776E+03    0.22571E+02   -0.13786E+02    0.15780E+06    0.85900E+01
  1620    0.37686E+03    0.22551E+02   -0.14272E+02    0.15764E+06    0.84652E+01
  1621    0.37599E+03    0.22527E+02   -0.14757E+02    0.15749E+06    0.83416E+01
  1622    0.37516E+03    0.22502E+02   -0.15240E+02    0.15733E+06    0.82189E+01
  1623    0.37436E+03    0.22474E+02   -0.15721E+02    0.15718E+06    0.80974E+01
  1624    0.37361E+03    0.22443E+02   -0.16199E+02    0.15702E+06    0.79769E+01
  1625    0.37290E+03    0.22409E+02   -0.16675E+02    0.15686E+06    0.78575E+01
  1626    0.37222E+03    0.22373E+02   -0.17148E+02    0.15671E+06    0.77392E+01
  1627    0.37157E+03    0.22333E+02   -0.17618E+02    0.15655E+06    0.76219E+01
  1628    0.37096E+03    0.22291E+02   -0.18085E+02    0.15640E+06    0.75057E+01
  1629    0.37039E+03    0.22247E+02   -0.18548E+02    0.15624E+06    0.73906E+01
  1630    0.36986E+03    0.22200E+02   -0.19009E+02    0.15609E+06    0.72766E+01
  1631    0.36934E+03    0.22150E+02   -0.19465E+02    0.15594E+06    0.71638E+01
  1632    0.36888E+03    0.22097E+02   -0.19918E+02    0.15578E+06    0.70520E+01
  1633    0.36845E+03    0.22042E+02   -0.20367E+02    0.15563E+06    0.69413E+01
  1634    0.36807E+03    0.21984E+02   -0.20812E+02    0.15548E+06    0.68317E+01
  1635    0.36770E+03    0.21925E+02   -0.21252E+02    0.15532E+06    0.67232E+01
  1636    0.36738E+03    0.21861E+02   -0.21688E+02    0.15517E+06    0.66159E+01
  1637    0.36708E+03    0.21796E+02   -0.22120E+02    0.15502E+06    0.65097E+01
  1638    0.36681E+03    0.21729E+02   -0.22546E+02    0.15486E+06    0.64046E+01
  1639    0.36659E+03    0.21658E+02   -0.22967E+02    0.15471E+06    0.63006E+01
  1640    0.36639E+03    0.21585E+02   -0.23385E+02    0.15456E+06    0.61978E+01
  1641    0.36622E+03    0.21510E+02   -0.23796E+02    0.15441E+06    0.60961E+01
  1642    0.36608E+03    0.21433E+02   -0.24201E+02    0.15426E+06    0.59956E+01
  1643    0.36597E+03    0.21355E+02   -0.24601E+02    0.15411E+06    0.58962E+01
  1644    0.36589E+03    0.21272E+02   -0.24998E+02    0.15395E+06    0.57979E+01
  1645    0.36584E+03    0.21187E+02   -0.25387E+02    0.15380E+06    0.57009E+01
  1646    0.36581E+03    0.21101E+02   -0.25770E+02    0.15365E+06    0.56049E+01
  1647    0.36582E+03    0.21012E+02   -0.26146E+02    0.15350E+06    0.55102E+01
  1648    0.36585E+03    0.20922E+02   -0.26517E+02    0.15335E+06    0.54166E+01
  1649    0.36592E+03    0.20829E+02   -0.26883E+02    0.15320E+06    0.53242E+01
  1650    0.36600E+03    0.20733E+02   -0.27240E+02    0.15305E+06    0.52330E+01
  1651    0.36611E+03    0.20637E+02   -0.27593E+02    0.15290E+06    0.51429E+01
  1652    0.36625E+03    0.20536E+02   -0.27937E+02    0.15276E+06    0.50541E+01
  1653    0.36641E+03    0.20435E+02   -0.28275E+02    0.15261E+06    0.49664E+01
  1654    0.36660E+03    0.20332E+02   -0.28607E+02    0.15246E+06    0.48799E+01
  1655    0.36681E+03    0.20228E+02   -0.28930E+02    0.15231E+06    0.47946E+01
  1656    0.36705E+03    0.20121E+02   -0.29248E+02    0.15216E+06    0.47105E+01
  1657    0.36729E+03    0.20012E+02   -0.29558E+02    0.15201E+06    0.46276E+01
  1658    0.36757E+03    0.19901E+02   -0.29861E+02    0.15187E+06    0.45458E+01
  1659    0.36787E+03    0.19788E+02   -0.30156E+02    0.15172E+06    0.44653E+01
  1660    0.36818E+03    0.19675E+02   -0.30443E+02    0.15157E+06    0.43859E+01
  1661    0.36852E+03    0.19559E+02   -0.30724E+02    0.15142E+06    0.43077E+01
  1662    0.36888E+03    0.19442E+02   -0.30998E+02    0.15128E+06    0.42306E+01
  1663    0.36925E+03    0.19323E+02   -0.31262E+02    0.15113E+06    0.41548E+01
  1664    0.36964E+03    0.19202E+02   -0.31519E+02    0.15098E+06    0.40801E+01
  1665    0.37005E+03    0.19081E+02   -0.31769E+02    0.15084E+06    0.40067E+01
  1666    0.37047E+03    0.18957E+02   -0.32012E+02    0.15069E+06    0.39344E+01
  1667    0.37091E+03    0.18833E+02   -0.32245E+02    0.15055E+06    0.38632E+01
  1668    0.37137E+03    0.18707E+02   -0.32471E+02    0.15040E+06    0.37933E+01
  1669    0.37184E+03    0.18580E+02   -0.32689E+02    0.15026E+06    0.37246E+01
  1670    0.37232E+03    0.18452E+02   -0.32898E+02    0.15011E+06    0.36570E+01
  1671    0.37283E+03    0.18321E+02   -0.33100E+02    0.14997E+06    0.35906E+01
  1672    0.37334E+03    0.18190E+02   -0.33293E+02    0.14982E+06    0.35254E+01
  1673    0.37385E+03    0.18058E+02   -0.33478E+02    0.14968E+06    0.34614E+01
  1674    0.37439E+03    0.17926E+02   -0.33654E+02    0.14953E+06    0.33985E+01
  1675    0.37493E+03    0.17791E+02   -0.33823E+02    0.14939E+06    0.33368E+01
  1676    0.37549E+03    0.17655E+02   -0.33983E+02    0.14925E+06    0.32763E+01
  1677    0.37606E+03    0.17520E+02   -0.34134E+02    0.14910E+06    0.32170E+01
  1678    0.37662E+03    0.17382E+02   -0.34277E+02    0.14896E+06    0.31589E+01
  1679    0.37720E+03    0.17245E+02   -0.34412E+02    0.14882E+06    0.31020E+01
  1680    0.37779E+03    0.17106E+02   -0.34538E+02    0.14867E+06    0.30462E+01
  1681    0.37838E+03    0.16966E+02   -0.34655E+02    0.14853E+06    0.29916E+01
  1682    0.37898E+03    0.16826E+02   -0.34765E+02    0.14839E+06    0.29382E+01
  1683    0.37958E+03    0.16686E+02   -0.34866E+02    0.14825E+06    0.28859E+01
  1684    0.38020E+03    0.16545E+02   -0.34959E+02    0.14811E+06    0.28349E+01
  1685    0.38081E+03    0.16403E+02   -0.35043E+02    0.14796E+06    0.27850E+01
  1686    0.38144E+03    0.16261E+02   -0.35117E+02    0.14782E+06    0.27363E+01
  1687    0.38205E+03    0.16118E+02   -0.35184E+02    0.14768E+06    0.26888E+01
  1688    0.38268E+03    0.15975E+02   -0.35243E+02    0.14754E+06    0.26424E+01
  1689    0.38330E+03    0.15832E+02   -0.35292E+02    0.14740E+06    0.25972E+01
  1690    0.38392E+03    0.15688E+02   -0.35333E+02    0.14726E+06    0.25533E+01
  1691    0.38455E+03    0.15545E+02   -0.35367E+02    0.14712E+06    0.25104E+01
  1692    0.38518E+03    0.15400E+02   -0.35391E+02    0.14698E+06    0.24688E+01
  1693    0.38581E+03    0.15256E+02   -0.35407E+02    0.14684E+06    0.24283E+01
  1694    0.38643E+03    0.15112E+02   -0.35415E+02    0.14670E+06    0.23891E+01
  1695    0.38706E+03    0.14967E+02   -0.35414E+02    0.14656E+06    0.23509E+01
  1696    0.38768E+03    0.14823E+02   -0.35406E+02    0.14642E+06    0.23140E+01
  1697    0.38829E+03    0.14678E+02   -0.35389E+02    0.14628E+06    0.22783E+01
  1698    0.38891E+03    0.14534E+02   -0.35364E+02    0.14614E+06    0.22437E+01
  1699    0.38952E+03    0.14390E+02   -0.35330E+02    0.14601E+06    0.22103E+01
  1700    0.39013E+03    0.14245E+02   -0.35289E+02    0.14587E+06    0.21780E+01
  1701    0.39072E+03    0.14102E+02   -0.35239E+02    0.14573E+06    0.21470E+01
  1702    0.39132E+03    0.13958E+02   -0.35181E+02    0.14559E+06    0.21171E+01
  1703    0.39191E+03    0.13816E+02   -0.35116E+02    0.14545E+06    0.20884E+01
  1704    0.39249E+03    0.13673E+02   -0.35043E+02    0.14532E+06    0.20608E+01
  1705    0.39306E+03    0.13531E+02   -0.34962E+02    0.14518E+06    0.20344E+01
  1706    0.39363E+03    0.13387E+02   -0.34872E+02    0.14504E+06    0.20091E+01
  1707    0.39419E+03    0.13245E+02   -0.34777E+02    0.14491E+06    0.19850E+01
  1708    0.39474E+03    0.13104E+02   -0.34673E+02    0.14477E+06    0.19619E+01
  1709    0.39528E+03    0.12964E+02   -0.34561E+02    0.14463E+06    0.19401E+01
  1710    0.39581E+03    0.12825E+02   -0.34442E+02    0.14450E+06    0.19193E+01
  1711    0.39632E+03    0.12687E+02   -0.34315E+02    0.14436E+06    0.18996E+01
  1712    0.39684E+03    0.12548E+02   -0.34182E+02    0.14422E+06    0.18810E+01
  1713    0.39733E+03    0.12411E+02   -0.34041E+02    0.14409E+06    0.18636E+01
  1714    0.39781E+03    0.12275E+02   -0.33893E+02    0.14395E+06    0.18472E+01
  1715    0.39828E+03    0.12139E+02   -0.33739E+02    0.14382E+06    0.18319E+01
  1716    0.39875E+03    0.12004E+02   -0.33577E+02    0.14368E+06    0.18177E+01
  1717    0.39919E+03    0.11870E+02   -0.33408E+02    0.14355E+06    0.18045E+01
  1718    0.39962E+03    0.11737E+02   -0.33233E+02    0.14341E+06    0.17924E+01
  1719    0.40004E+03    0.11605E+02   -0.33051E+02    0.14328E+06    0.17814E+01
  1720    0.40045E+03    0.11474E+02   -0.32864E+02    0.14315E+06    0.17714E+01
  1721    0.40084E+03    0.11345E+02   -0.32669E+02    0.14301E+06    0.17624E+01
  1722    0.40122E+03    0.11216E+02   -0.32469E+02    0.14288E+06    0.17545E+01
  1723    0.40158E+03    0.11088E+02   -0.32262E+02    0.14275E+06    0.17476E+01
  1724    0.40192E+03    0.10962E+02   -0.32049E+02    0.14261E+06    0.17418E+01
  1725    0.40224E+03    0.10837E+02   -0.31830E+02    0.14248E+06    0.17369E+01
  1726    0.40255E+03    0.10713E+02   -0.31607E+02    0.14235E+06    0.17331E+01
  1727    0.40285E+03    0.10590E+02   -0.31376E+02    0.14221E+06    0.17302E+01
  1728    0.40312E+03    0.10471E+02   -0.31141E+02    0.14208E+06    0.17284E+01
  1729    0.40338E+03    0.10351E+02   -0.30900E+02    0.14195E+06    0.17275E+01
  1730    0.40361E+03    0.10233E+02   -0.30653E+02    0.14182E+06    0.17276E+01
  1731    0.40384E+03    0.10116E+02   -0.30402E+02    0.14168E+06    0.17287E+01
  1732    0.40403E+03    0.10000E+02   -0.30145E+02    0.14155E+06    0.17308E+01
  1733    0.40422E+03    0.98869E+01   -0.29884E+02    0.14142E+06    0.17339E+01
  1734    0.40438E+03    0.97742E+01   -0.29618E+02    0.14129E+06    0.17378E+01
  1735    0.40452E+03    0.96638E+01   -0.29346E+02    0.14116E+06    0.17428E+01
  1736    0.40465E+03    0.95541E+01   -0.29071E+02    0.14103E+06    0.17487E+01
  1737    0.40475E+03    0.94473E+01   -0.28791E+02    0.14090E+06    0.17555E+01
  1738    0.40483E+03    0.93412E+01   -0.28506E+02    0.14077E+06    0.17632E+01
  1739    0.40491E+03    0.92374E+01   -0.28218E+02    0.14064E+06    0.17719E+01
  1740    0.40494E+03    0.91351E+01   -0.27926E+02    0.14051E+06    0.17814E+01
  1741    0.40498E+03    0.90342E+01   -0.27629E+02    0.14038E+06    0.17919E+01
  1742    0.40498E+03    0.89355E+01   -0.27330E+02    0.14025E+06    0.18033E+01
  1743    0.40496E+03    0.88384E+01   -0.27026E+02    0.14012E+06    0.18156E+01
  1744    0.40492E+03    0.87435E+01   -0.26719E+02    0.13999E+06    0.18288E+01
  1745    0.40486E+03    0.86493E+01   -0.26408E+02    0.13986E+06    0.18428E+01
  1746    0.40477E+03    0.85581E+01   -0.26095E+02    0.13973E+06    0.18578E+01
  1747    0.40467E+03    0.84691E+01   -0.25778E+02    0.13960E+06    0.18736E+01
  1748    0.40454E+03    0.83824E+01   -0.25459E+02    0.13947E+06    0.18902E+01
  1749    0.40439E+03    0.82964E+01   -0.25135E+02    0.13935E+06    0.19077E+01
  1750    0.40421E+03    0.82127E+01   -0.24811E+02    0.13922E+06    0.19261E+01
  1751    0.40401E+03    0.81305E+01   -0.24484E+02    0.13909E+06    0.19453E+01
  1752    0.40380E+03    0.80498E+01   -0.24153E+02    0.13896E+06    0.19653E+01
  1753    0.40356E+03    0.79707E+01   -0.23822E+02    0.13883E+06    0.19862E+01
  1754    0.40330E+03    0.78945E+01   -0.23488E+02    0.13871E+06    0.20079E+01
  1755    0.40302E+03    0.78211E+01   -0.23152E+02    0.13858E+06    0.20304E+01
  1756    0.40272E+03    0.77487E+01   -0.22814E+02    0.13845E+06    0.20536E+01
  1757    0.40239E+03    0.76784E+01   -0.22475E+02    0.13833E+06    0.20777E+01
  1758    0.40203E+03    0.76101E+01   -0.22134E+02    0.13820E+06    0.21026E+01
  1759    0.40166E+03    0.75439E+01   -0.21793E+02    0.13807E+06    0.21282E+01
  1760    0.40127E+03    0.74799E+01   -0.21449E+02    0.13795E+06    0.21546E+01
  1761    0.40084E+03    0.74179E+01   -0.21105E+02    0.13782E+06    0.21818E+01
  1762    0.40040E+03    0.73580E+01   -0.20760E+02    0.13770E+06    0.22097E+01
  1763    0.39994E+03    0.73003E+01   -0.20414E+02    0.13757E+06    0.22383E+01
  1764    0.39946E+03    0.72447E+01   -0.20068E+02    0.13744E+06    0.22677E+01
  1765    0.39895E+03    0.71912E+01   -0.19721E+02    0.13732E+06    0.22978E+01
  1766    0.39842E+03    0.71396E+01   -0.19374E+02    0.13719E+06    0.23286E+01
  1767    0.39786E+03    0.70901E+01   -0.19026E+02    0.13707E+06    0.23601E+01
  1768    0.39729E+03    0.70429E+01   -0.18679E+02    0.13695E+06    0.23923E+01
  1769    0.39670E+03    0.69977E+01   -0.18332E+02    0.13682E+06    0.24252E+01
  1770    0.39607E+03    0.69544E+01   -0.17985E+02    0.13670E+06    0.24588E+01
  1771    0.39543E+03    0.69134E+01   -0.17638E+02    0.13657E+06    0.24930E+01
  1772    0.39478E+03    0.68744E+01   -0.17293E+02    0.13645E+06    0.25280E+01
  1773    0.39409E+03    0.68375E+01   -0.16947E+02    0.13632E+06    0.25635E+01
  1774    0.39338E+03    0.68027E+01   -0.16603E+02    0.13620E+06    0.25998E+01
  1775    0.39266E+03    0.67700E+01   -0.16260E+02    0.13608E+06    0.26366E+01
  1776    0.39192E+03    0.67393E+01   -0.15917E+02    0.13595E+06    0.26741E+01
  1777    0.39114E+03    0.67108E+01   -0.15577E+02    0.13583E+06    0.27122E+01
  1778    0.39035E+03    0.66842E+01   -0.15237E+02    0.13571E+06    0.27509E+01
  1779    0.38954E+03    0.66598E+01   -0.14899E+02    0.13559E+06    0.27902E+01
  1780    0.38871E+03    0.66375E+01   -0.14563E+02    0.13546E+06    0.28302E+01
  1781    0.38787E+03    0.66171E+01   -0.14228E+02    0.13534E+06    0.28707E+01
  1782    0.38698E+03    0.65988E+01   -0.13895E+02    0.13522E+06    0.29118E+01
  1783    0.38609E+03    0.65825E+01   -0.13565E+02    0.13510E+06    0.29534E+01
  1784    0.38519E+03    0.65682E+01   -0.13235E+02    0.13498E+06    0.29956E+01
  1785    0.38426E+03    0.65560E+01   -0.12909E+02    0.13485E+06    0.30384E+01
  1786    0.38331E+03    0.65457E+01   -0.12585E+02    0.13473E+06    0.30817E+01
  1787    0.38235E+03    0.65375E+01   -0.12263E+02    0.13461E+06    0.31256E+01
  1788    0.38137E+03    0.65312E+01   -0.11945E+02    0.13449E+06    0.31699E+01
  1789    0.38037E+03    0.65268E+01   -0.11629E+02    0.13437E+06    0.32148E+01
  1790    0.37934E+03    0.65244E+01   -0.11316E+02    0.13425E+06    0.32602E+01
  1791    0.37830E+03    0.65239E+01   -0.11006E+02    0.13413E+06    0.33061E+01
  1792    0.37725E+03    0.65253E+01   -0.10699E+02    0.13401E+06    0.33525E+01
  1793    0.37617E+03    0.65287E+01   -0.10395E+02    0.13389E+06    0.33994E+01
  1794    0.37508E+03    0.65338E+01   -0.10094E+02    0.13377E+06    0.34468E+01
  1795    0.37398E+03    0.65410E+01   -0.97974E+01    0.13365E+06    0.34946E+01
  1796    0.37283E+03    0.65499E+01   -0.95033E+01    0.13353E+06    0.35429E+01
  1797    0.37171E+03    0.65605E+01   -0.92135E+01    0.13341E+06    0.35916E+01
  1798    0.37055E+03    0.65730E+01   -0.89265E+01    0.13329E+06    0.36408E+01
  1799    0.36937E+03    0.65874E+01   -0.86439E+01    0.13317E+06    0.36904E+01
  1800    0.36819E+03    0.66035E+01   -0.83655E+01    0.13305E+06    0.37405E+01
  1801    0.36700E+03    0.66214E+01   -0.80904E+01    0.13293E+06    0.37909E+01
  1802    0.36579E+03    0.66408E+01   -0.78199E+01    0.13282E+06    0.38418E+01
  1803    0.36457E+03    0.66621E+01   -0.75539E+01    0.13270E+06    0.38931E+01
  1804    0.36332E+03    0.66849E+01   -0.72913E+01    0.13258E+06    0.39447E+01
  1805    0.36206E+03    0.67095E+01   -0.70334E+01    0.13246E+06    0.39968E+01
  1806    0.36080E+03    0.67358E+01   -0.67799E+01    0.13234E+06    0.40492E+01
  1807    0.35951E+03    0.67637E+01   -0.65310E+01    0.13223E+06    0.41019E+01
  1808    0.35822E+03    0.67929E+01   -0.62864E+01    0.13211E+06    0.41550E+01
  1809    0.35691E+03    0.68237E+01   -0.60467E+01    0.13199E+06    0.42085E+01
  1810    0.35560E+03    0.68560E+01   -0.58117E+01    0.13187E+06    0.42622E+01
  1811    0.35427E+03    0.68899E+01   -0.55814E+01    0.13176E+06    0.43163E+01
  1812    0.35293E+03    0.69253E+01   -0.53562E+01    0.13164E+06    0.43707E+01
  1813    0.35158E+03    0.69620E+01   -0.51358E+01    0.13152E+06    0.44254E+01
  1814    0.35022E+03    0.70001E+01   -0.49205E+01    0.13141E+06    0.44804E+01
  1815    0.34886E+03    0.70396E+01   -0.47102E+01    0.13129E+06    0.45357E+01
  1816    0.34748E+03    0.70804E+01   -0.45051E+01    0.13118E+06    0.45912E+01
  1817    0.34609E+03    0.71225E+01   -0.43051E+01    0.13106E+06    0.46470E+01
  1818    0.34470E+03    0.71660E+01   -0.41103E+01    0.13094E+06    0.47030E+01
  1819    0.34327E+03    0.72107E+01   -0.39209E+01    0.13083E+06    0.47593E+01
  1820    0.34187E+03    0.72565E+01   -0.37369E+01    0.13071E+06    0.48158E+01
  1821    0.34046E+03    0.73036E+01   -0.35582E+01    0.13060E+06    0.48726E+01
  1822    0.33903E+03    0.73518E+01   -0.33850E+01    0.13048E+06    0.49295E+01
  1823    0.33762E+03    0.74012E+01   -0.32172E+01    0.13037E+06    0.49866E+01
  1824    0.33619E+03    0.74514E+01   -0.30549E+01    0.13025E+06    0.50440E+01
  1825    0.33475E+03    0.75026E+01   -0.28983E+01    0.13014E+06    0.51015E+01
  1826    0.33330E+03    0.75556E+01   -0.27472E+01    0.13002E+06    0.51592E+01
  1827    0.33186E+03    0.76092E+01   -0.26017E+01    0.12991E+06    0.52170E+01
  1828    0.33041E+03    0.76637E+01   -0.24619E+01    0.12980E+06    0.52750E+01
  1829    0.32895E+03    0.77183E+01   -0.23278E+01    0.12968E+06    0.53332E+01
  1830    0.32749E+03    0.77753E+01   -0.21993E+01    0.12957E+06    0.53915E+01
  1831    0.32603E+03    0.78323E+01   -0.20766E+01    0.12945E+06    0.54499E+01
  1832    0.32456E+03    0.78902E+01   -0.19597E+01    0.12934E+06    0.55084E+01
  1833    0.32310E+03    0.79490E+01   -0.18484E+01    0.12923E+06    0.55670E+01
  1834    0.32164E+03    0.80079E+01   -0.17432E+01    0.12911E+06    0.56257E+01
  1835    0.32016E+03    0.80683E+01   -0.16434E+01    0.12900E+06    0.56845E+01
  1836    0.31869E+03    0.81304E+01   -0.15497E+01    0.12889E+06    0.57433E+01
  1837    0.31722E+03    0.81911E+01   -0.14618E+01    0.12878E+06    0.58022E+01
  1838    0.31575E+03    0.82534E+01   -0.13797E+01    0.12866E+06    0.58612E+01
  1839    0.31428E+03    0.83165E+01   -0.13034E+01    0.12855E+06    0.59202E+01
  1840    0.31281E+03    0.83790E+01   -0.12330E+01    0.12844E+06    0.59793E+01
  1841    0.31135E+03    0.84431E+01   -0.11684E+01    0.12833E+06    0.60384E+01
  1842    0.30988E+03    0.85073E+01   -0.11097E+01    0.12822E+06    0.60974E+01
  1843    0.30842E+03    0.85716E+01   -0.10569E+01    0.12810E+06    0.61565E+01
  1844    0.30696E+03    0.86368E+01   -0.10098E+01    0.12799E+06    0.62156E+01
  1845    0.30552E+03    0.87020E+01   -0.96852E+00    0.12788E+06    0.62747E+01
  1846    0.30405E+03    0.87681E+01   -0.93297E+00    0.12777E+06    0.63337E+01
  1847    0.30261E+03    0.88344E+01   -0.90339E+00    0.12766E+06    0.63928E+01
  1848    0.30116E+03    0.89007E+01   -0.87944E+00    0.12755E+06    0.64517E+01
  1849    0.29971E+03    0.89671E+01   -0.86126E+00    0.12744E+06    0.65106E+01
  1850    0.29828E+03    0.90337E+01   -0.84879E+00    0.12733E+06    0.65695E+01
  1851    0.29683E+03    0.91011E+01   -0.84203E+00    0.12722E+06    0.66282E+01
  1852    0.29541E+03    0.91693E+01   -0.84100E+00    0.12711E+06    0.66869E+01
  1853    0.29398E+03    0.92361E+01   -0.84554E+00    0.12700E+06    0.67455E+01
  1854    0.29256E+03    0.93031E+01   -0.85580E+00    0.12689E+06    0.68040E+01
  1855    0.29115E+03    0.93694E+01   -0.87157E+00    0.12678E+06    0.68625E+01
  1856    0.28975E+03    0.94365E+01   -0.89276E+00    0.12667E+06    0.69208E+01
  1857    0.28835E+03    0.95045E+01   -0.91954E+00    0.12656E+06    0.69790E+01
  1858    0.28696E+03    0.95711E+01   -0.95176E+00    0.12645E+06    0.70370E+01
  1859    0.28559E+03    0.96385E+01   -0.98948E+00    0.12634E+06    0.70950E+01
  1860    0.28421E+03    0.97045E+01   -0.10324E+01    0.12623E+06    0.71528E+01
  1861    0.28285E+03    0.97714E+01   -0.10808E+01    0.12612E+06    0.72105E+01
  1862    0.28150E+03    0.98376E+01   -0.11343E+01    0.12601E+06    0.72680E+01
  1863    0.28014E+03    0.99038E+01   -0.11930E+01    0.12590E+06    0.73254E+01
  1864    0.27882E+03    0.99709E+01   -0.12569E+01    0.12580E+06    0.73827E+01
  1865    0.27749E+03    0.10037E+02   -0.13259E+01    0.12569E+06    0.74397E+01
  1866    0.27618E+03    0.10102E+02   -0.13999E+01    0.12558E+06    0.74967E+01
  1867    0.27487E+03    0.10167E+02   -0.14788E+01    0.12547E+06    0.75534E+01
  1868    0.27357E+03    0.10231E+02   -0.15627E+01    0.12536E+06    0.76100E+01
  1869    0.27229E+03    0.10295E+02   -0.16513E+01    0.12526E+06    0.76663E+01
  1870    0.27102E+03    0.10359E+02   -0.17449E+01    0.12515E+06    0.77225E+01
  1871    0.26976E+03    0.10423E+02   -0.18430E+01    0.12504E+06    0.77785E+01
  1872    0.26851E+03    0.10485E+02   -0.19460E+01    0.12493E+06    0.78343E+01
  1873    0.26728E+03    0.10547E+02   -0.20534E+01    0.12483E+06    0.78898E+01
  1874    0.26606E+03    0.10609E+02   -0.21654E+01    0.12472E+06    0.79452E+01
  1875    0.26485E+03    0.10670E+02   -0.22818E+01    0.12461E+06    0.80003E+01
  1876    0.26365E+03    0.10730E+02   -0.24026E+01    0.12451E+06    0.80552E+01
  1877    0.26247E+03    0.10790E+02   -0.25276E+01    0.12440E+06    0.81099E+01
  1878    0.26129E+03    0.10848E+02   -0.26569E+01    0.12430E+06    0.81643E+01
  1879    0.26013E+03    0.10906E+02   -0.27902E+01    0.12419E+06    0.82185E+01
  1880    0.25899E+03    0.10963E+02   -0.29277E+01    0.12408E+06    0.82725E+01
  1881    0.25786E+03    0.11019E+02   -0.30691E+01    0.12398E+06    0.83261E+01
  1882    0.25675E+03    0.11075E+02   -0.32142E+01    0.12387E+06    0.83795E+01
  1883    0.25565E+03    0.11129E+02   -0.33633E+01    0.12377E+06    0.84327E+01
  1884    0.25457E+03    0.11184E+02   -0.35160E+01    0.12366E+06    0.84855E+01
  1885    0.25350E+03    0.11237E+02   -0.36725E+01    0.12356E+06    0.85381E+01
  1886    0.25244E+03    0.11290E+02   -0.38323E+01    0.12345E+06    0.85904E+01
  1887    0.25140E+03    0.11341E+02   -0.39958E+01    0.12335E+06    0.86424E+01
  1888    0.25038E+03    0.11391E+02   -0.41626E+01    0.12324E+06    0.86941E+01
  1889    0.24937E+03    0.11440E+02   -0.43327E+01    0.12314E+06    0.87454E+01
  1890    0.24837E+03    0.11488E+02   -0.45061E+01    0.12303E+06    0.87965E+01
  1891    0.24740E+03    0.11536E+02   -0.46824E+01    0.12293E+06    0.88472E+01
  1892    0.24644E+03    0.11582E+02   -0.48620E+01    0.12282E+06    0.88976E+01
